,precos,bairros,tamanhos,quartos,banheiros,vagas
3768,R$ 2.800.000,"Vila Nova Cidade Universitária, Bauru",922 m² tot.,5 quartos,6 ban.,7 vagas
3769,R$ 319.000,"Distrito Industrial Domingos Biancardi, Bauru",150 m² tot.,2 quartos,1 banheiro,2 vagas
3770,R$ 280.000,"Parque Val de Palmas, Bauru",250 m² tot.,3 quartos,2 ban.,2 vagas
3771,R$ 380.000,"Jardim Vânia Maria, Bauru",275 m² tot.,4 quartos,1 banheiro,4 vagas
3772,R$ 250.000,"Jardim Bela Vista, Bauru",345 m² tot.,2 quartos,2 ban.,3 vagas
3773,R$ 470.000,"Vale do Igapó, Bauru",1004 m² tot.,2 quartos,3 ban.,1 vaga
3774,R$ 410.000,"Parque Júlio Nóbrega, Bauru",250 m² tot.,2 quartos,2 ban.,3 vagas
3775,R$ 390.000,"Jardim Cruzeiro do Sul, Bauru",533 m² tot.,4 quartos,2 ban.,3 vagas
3776,R$ 230.000,"Núcleo Habitacional José Regino, Bauru",200 m² tot.,2 quartos,1 banheiro,2 vagas
3777,R$ 480.000,"Vila Jardim Celina, Bauru",363 m² tot.,3 quartos,2 ban.,4 vagas
3778,R$ 150.000,"Parque Vista Alegre, Bauru",144 m² tot.,3 quartos,1 banheiro,
3779,R$ 2.700.000,"Residencial Lago Sul, Bauru",450 m² tot.,4 quartos,5 ban.,3 vagas
3780,R$ 160.000,"Jardim Vânia Maria, Bauru",137 m² tot.,2 quartos,1 banheiro,1 vaga
3781,R$ 1.300.000,"Vila Santa Tereza, Bauru",324 m² tot.,8 quartos,7 ban.,1 vaga
3782,R$ 990.000,"Parque Jardim Europa, Bauru",440 m² tot.,3 quartos,3 ban.,9 vagas
3783,R$ 480.000,"Jardim Bela Vista, Bauru",175 m² tot.,3 quartos,3 ban.,2 vagas
3784,R$ 1.100.000,"Residencial Jardins do Sul, Bauru",250 m² tot.,3 quartos,4 ban.,4 vagas
3785,R$ 48.207,"Chácaras Marajoara, Luziânia",50 m² tot.,2 quartos,,1 vaga
3786,R$ 52.797,"Chácaras Marajoara, Luziânia",50 m² tot.,2 quartos,,1 vaga
3787,R$ 56.556,"Chácaras Marajoara, Luziânia",50 m² tot.,2 quartos,,1 vaga
3788,R$ 250.000,"Vila São João da Boa Vista, Bauru",250 m² tot.,3 quartos,1 banheiro,2 vagas
3789,R$ 350.000,"Núcleo Habitacional Vereador Edson Francisco da Silva, Bauru",95 m² tot.,3 quartos,1 banheiro,2 vagas
3790,R$ 295.000,"Conjunto Habitacional Pastor Arlindo Lopes Viana, Bauru",160 m² tot.,3 quartos,2 ban.,2 vagas
3791,R$ 89.900,"Núcleo Habitacional Vereador Edson Francisco da Silva, Bauru",54 m² tot.,2 quartos,1 banheiro,1 vaga
3792,R$ 240.000,"Vila São João do Ipiranga, Bauru",220 m² tot.,3 quartos,1 banheiro,1 vaga
3793,R$ 370.000,"Vila São João da Boa Vista, Bauru",484 m² tot.,3 quartos,2 ban.,1 vaga
3794,R$ 250.000,"Conjunto Habitacional Engenheiro Otávio Rasi, Bauru",80 m² tot.,3 quartos,2 ban.,2 vagas
3795,R$ 220.000,"Vila São João da Boa Vista, Bauru",249 m² tot.,3 quartos,1 banheiro,2 vagas
3796,R$ 349.000,"Vila São João do Ipiranga, Bauru",242 m² tot.,3 quartos,2 ban.,3 vagas
3797,R$ 1.500.000,"Bauru, São Paulo",375 m² tot.,3 quartos,5 ban.,2 vagas
3798,R$ 1.050.000,"Residencial Sauípe, Bauru",260 m² tot.,3 quartos,3 ban.,2 vagas
3799,R$ 550.000,"Jardim Marambá, Bauru",280 m² tot.,3 quartos,3 ban.,2 vagas
3800,R$ 2.100.000,"Bauru, São Paulo",600 m² tot.,4 quartos,6 ban.,4 vagas
3801,R$ 2.200.000,"Bauru, São Paulo",520 m² tot.,4 quartos,6 ban.,3 vagas
3802,R$ 1.800.000,"Bauru, São Paulo",396 m² tot.,3 quartos,4 ban.,
3803,R$ 2.000.000,"Bauru, São Paulo",360 m² tot.,3 quartos,4 ban.,2 vagas
3804,R$ 1.800.000,"Bauru, São Paulo",315 m² tot.,3 quartos,5 ban.,3 vagas
3805,R$ 2.100.000,"Bauru, São Paulo",527 m² tot.,3 quartos,7 ban.,5 vagas
3806,R$ 1.500.000,"Bauru, São Paulo",280 m² tot.,3 quartos,5 ban.,3 vagas
3807,R$ 1.400.000,"Bauru, São Paulo",364 m² tot.,3 quartos,4 ban.,4 vagas
3808,R$ 1.750.000,"Bauru, São Paulo",250 m² tot.,3 quartos,4 ban.,2 vagas
3809,R$ 2.000.000,"Bauru, São Paulo",372 m² tot.,3 quartos,5 ban.,3 vagas
3810,R$ 550.000,"Bauru, São Paulo",300 m² tot.,4 quartos,5 ban.,4 vagas
3811,R$ 3.500.000,"Bauru, São Paulo",360 m² tot.,4 quartos,6 ban.,4 vagas
3812,R$ 1.300.000,"Bauru, São Paulo",360 m² tot.,3 quartos,4 ban.,2 vagas
3813,R$ 600.000,"Bauru, São Paulo",333 m² tot.,3 quartos,3 ban.,2 vagas
3814,R$ 1.950.000,"Bauru, São Paulo",590 m² tot.,3 quartos,5 ban.,3 vagas
3815,R$ 1.500.000,"Bauru, São Paulo",525 m² tot.,4 quartos,5 ban.,3 vagas
3816,R$ 4.200.000,"Bauru, São Paulo",896 m² tot.,4 quartos,7 ban.,4 vagas
3817,R$ 1.200.000,"Bauru, São Paulo",233 m² tot.,3 quartos,5 ban.,2 vagas
3818,R$ 2.450.000,"Bauru, São Paulo",900 m² tot.,4 quartos,5 ban.,2 vagas
3819,R$ 1.500.000,"Bauru, São Paulo",450 m² tot.,3 quartos,5 ban.,2 vagas
3820,R$ 2.600.000,"Bauru, São Paulo",460 m² tot.,4 quartos,6 ban.,3 vagas
3821,R$ 1.850.000,"Bauru, São Paulo",460 m² tot.,4 quartos,5 ban.,3 vagas
3822,R$ 650.000,"Centro, Bauru",546 m² tot.,3 quartos,3 ban.,1 vaga
3823,R$ 2.200.000,"Bauru, São Paulo",450 m² tot.,2 quartos,4 ban.,2 vagas
3824,R$ 1.290.000,"Bauru, São Paulo",307 m² tot.,3 quartos,4 ban.,3 vagas
3825,R$ 1.300.000,"Bauru, São Paulo",300 m² tot.,3 quartos,3 ban.,4 vagas
3826,R$ 1.290.000,"Bauru, São Paulo",177 m² tot.,3 quartos,4 ban.,3 vagas
3827,R$ 795.000,"Bauru, São Paulo",170 m² tot.,3 quartos,2 ban.,2 vagas
3828,R$ 1.590.000,"Bauru, São Paulo",363 m² tot.,3 quartos,5 ban.,4 vagas
3829,R$ 560.000,"Jardim Solange, Bauru",180 m² tot.,3 quartos,4 ban.,2 vagas
3830,R$ 1.400.000,"Jardim Marabá, Bauru",450 m² tot.,4 quartos,5 ban.,3 vagas
3831,R$ 1.700.000,"Chácaras Odete, Bauru",521 m² tot.,3 quartos,6 ban.,3 vagas
3832,R$ 1.850.000,"Vila Aviação, Bauru",360 m² tot.,3 quartos,5 ban.,2 vagas
3833,R$ 1.850.000,"Vila Aviação, Bauru",360 m² tot.,3 quartos,5 ban.,2 vagas
3834,R$ 1.700.000,"Vila Santista, Bauru",360 m² tot.,4 quartos,3 ban.,2 vagas
3835,R$ 780.000,"Jardim Europa, Bauru",432 m² tot.,3 quartos,1 banheiro,7 vagas
3836,R$ 750.000,"Jardim Ferraz, Bauru",360 m² tot.,3 quartos,2 ban.,4 vagas
3837,R$ 520.000,"Vila Rocha, Bauru",181 m² tot.,3 quartos,2 ban.,3 vagas
3838,R$ 890.000,"Jardim Estoril, Bauru",280 m² tot.,3 quartos,,2 vagas
3839,R$ 990.000,"Jardim Colonial, Bauru",450 m² tot.,3 quartos,3 ban.,2 vagas
3840,R$ 3.000.000,"Vila Aviação, Bauru",720 m² tot.,4 quartos,6 ban.,6 vagas
3841,R$ 890.000,"Jardim Estoril, Bauru",280 m² tot.,3 quartos,3 ban.,2 vagas
3842,R$ 2.100.000,"Vila Aviação, Bauru",450 m² tot.,3 quartos,5 ban.,2 vagas
3843,R$ 600.000,"Vila Carolina, Bauru",270 m² tot.,3 quartos,3 ban.,4 vagas
3844,R$ 550.000,"Jardim Estoril, Bauru",242 m² tot.,4 quartos,4 ban.,3 vagas
3845,R$ 800.000,"Jardim América, Bauru",260 m² tot.,3 quartos,1 banheiro,2 vagas
3846,R$ 1.200.000,"Jardim Estoril, Bauru",280 m² tot.,4 quartos,4 ban.,4 vagas
3847,R$ 3.500.000,"Vila Aviação, Bauru",600 m² tot.,4 quartos,6 ban.,3 vagas
3848,R$ 2.200.000,"Residencial Tivoli, Bauru",360 m² tot.,4 quartos,5 ban.,3 vagas
3849,R$ 700.000,"Vila Carolina, Bauru",300 m² tot.,3 quartos,1 banheiro,2 vagas
3850,R$ 590.000,"Vila Paraíso, Bauru",308 m² tot.,3 quartos,2 ban.,3 vagas
3851,R$ 260.000,"Vila Pacífico, Bauru",200 m² tot.,3 quartos,1 banheiro,3 vagas
3852,R$ 1.325.000,"Jardim Colonial, Bauru",300 m² tot.,3 quartos,2 ban.,2 vagas
3853,R$ 1.100.000,"Jardim América, Bauru",728 m² tot.,4 quartos,6 ban.,4 vagas
3854,R$ 750.000,"Jardim Terra Branca, Bauru",300 m² tot.,3 quartos,2 ban.,2 vagas
3855,R$ 400.000,"Jardim Cruzeiro do Sul, Bauru",147 m² tot.,3 quartos,2 ban.,4 vagas
3856,R$ 650.000,"Jardim Cruzeiro do Sul, Bauru",400 m² tot.,3 quartos,2 ban.,5 vagas
3857,R$ 650.000,"Vale do Igapó, Bauru",1159 m² tot.,6 quartos,5 ban.,
3858,R$ 5.800.000,"Residencial Lago Sul, Bauru",675 m² tot.,4 quartos,6 ban.,4 vagas
3859,R$ 2.500.000,"Samambaia Parque Residencial, Bauru",560 m² tot.,3 quartos,5 ban.,4 vagas
3860,R$ 2.800.000,"Residencial Villa Lobos, Bauru",525 m² tot.,4 quartos,6 ban.,3 vagas
3861,R$ 2.850.000,"Residencial Lago Sul, Bauru",450 m² tot.,4 quartos,5 ban.,2 vagas
3862,R$ 2.600.000,"Samambaia Parque Residencial, Bauru",500 m² tot.,5 quartos,7 ban.,4 vagas
3863,R$ 340.000,"Núcleo Residencial Presidente Geisel, Bauru",150 m² tot.,3 quartos,3 ban.,2 vagas
3864,R$ 2.100.000,"Residencial Tivoli II, Bauru",360 m² tot.,4 quartos,6 ban.,4 vagas
3865,R$ 350.000,"Núcleo Habitacional Mary Dota, Bauru",250 m² tot.,2 quartos,2 ban.,2 vagas
3866,R$ 1.200.000,"Residencial Tivoli II, Bauru",360 m² tot.,3 quartos,3 ban.,1 vaga
3867,R$ 1.450.000,"Residencial Tivoli II, Bauru",360 m² tot.,3 quartos,4 ban.,2 vagas
3868,R$ 750.000,"Jardim Terra Branca, Bauru",300 m² tot.,3 quartos,2 ban.,2 vagas
3869,R$ 1.690.000,"Residencial Tivoli II, Bauru",360 m² tot.,3 quartos,5 ban.,2 vagas
3870,R$ 850.000,"Parque Jardim Europa, Bauru",270 m² tot.,2 quartos,3 ban.,4 vagas
3871,R$ 1.350.000,"Residencial Tivoli II, Bauru",360 m² tot.,3 quartos,5 ban.,2 vagas
3872,R$ 1.500.000,"Jardim Estoril II, Bauru",450 m² tot.,4 quartos,6 ban.,3 vagas
3873,R$ 6.800.000,"Residencial Lago Sul, Bauru",900 m² tot.,4 quartos,7 ban.,2 vagas
3874,R$ 800.000,"Jardim Estoril II, Bauru",484 m² tot.,4 quartos,5 ban.,3 vagas
3875,R$ 750.000,"Jardim Shangri-Lá, Bauru",250 m² tot.,3 quartos,3 ban.,3 vagas
3876,R$ 980.000,"Jardim Shangri-Lá, Bauru",300 m² tot.,3 quartos,3 ban.,3 vagas
3877,R$ 850.000,"Jardim Shangri-Lá, Bauru",300 m² tot.,3 quartos,5 ban.,3 vagas
3878,R$ 180.000,"Jardim Bela Vista, Bauru",215 m² tot.,3 quartos,2 ban.,3 vagas
3879,R$ 450.000,"Vila Tecnológica Engenheiro José Queda, Bauru",300 m² tot.,3 quartos,3 ban.,2 vagas
3880,R$ 390.000,"Peruíbe, São Paulo",96 m² tot.,2 quartos,2 ban.,2 vagas
3881,R$ 191.199,"Parque Bauru, Bauru",333 m² tot.,3 quartos,,4 vagas
3882,R$ 2.300.000,"Bauru, São Paulo",600 m² tot.,3 quartos,5 ban.,4 vagas
3883,R$ 1.950.000,"Bauru, São Paulo",527 m² tot.,3 quartos,4 ban.,4 vagas
3884,R$ 500.000,"Centro, Bauru",536 m² tot.,5 quartos,3 ban.,2 vagas
3885,R$ 390.000,"Centro, Bauru",440 m² tot.,2 quartos,2 ban.,5 vagas
3886,R$ 1.050.000,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,5 ban.,2 vagas
3887,R$ 300.000,"Vila Industrial, Bauru",126 m² tot.,2 quartos,1 banheiro,1 vaga
3888,R$ 310.000,"Bauru, São Paulo",100 m² tot.,4 quartos,2 ban.,2 vagas
3889,R$ 2.100.000,"Bauru, São Paulo",420 m² tot.,3 quartos,5 ban.,3 vagas
3890,R$ 415.000,"Parque União, Bauru",132 m² tot.,3 quartos,2 ban.,
3891,R$ 330.000,"Vila Dutra, Bauru",282 m² tot.,3 quartos,4 ban.,3 vagas
3892,R$ 270.000,"Jardim Redentor, Bauru",180 m² tot.,3 quartos,2 ban.,2 vagas
3893,R$ 1.200.000,"Vila Falcão, Bauru",968 m² tot.,2 quartos,6 ban.,10 vagas
3894,R$ 430.000,"Jardim Estoril, Bauru",242 m² tot.,4 quartos,3 ban.,2 vagas
3895,R$ 300.000,"Jardim Prudência, Bauru",429 m² tot.,3 quartos,1 banheiro,5 vagas
3896,R$ 1.350.000,"Quinta Ranieri, Bauru",350 m² tot.,3 quartos,,
3897,R$ 800.000,"Vila Altinópolis, Bauru",260 m² tot.,3 quartos,4 ban.,
3898,R$ 540.000,"Centro, Bauru",235 m² tot.,3 quartos,1 banheiro,7 vagas
3899,R$ 400.000,"Centro, Bauru",390 m² tot.,2 quartos,1 banheiro,3 vagas
3900,R$ 2.300.000,"Bauru, São Paulo",453 m² tot.,3 quartos,4 ban.,2 vagas
3901,R$ 1.590.000,"Bauru, São Paulo",363 m² tot.,3 quartos,2 ban.,4 vagas
3902,R$ 235.000,"Vila Alto Paraíso, Bauru",300 m² tot.,2 quartos,2 ban.,3 vagas
3903,R$ 330.000,"Jardim Vânia Maria, Bauru",250 m² tot.,2 quartos,3 ban.,3 vagas
3904,R$ 850.000,"Parque Jardim Europa, Bauru",448 m² tot.,3 quartos,4 ban.,2 vagas
3905,R$ 210.000,"Bauru, São Paulo",160 m² tot.,2 quartos,1 banheiro,2 vagas
3906,R$ 250.000,"Bauru, São Paulo",160 m² tot.,2 quartos,1 banheiro,1 vaga
3907,R$ 2.150.000,"Bauru, São Paulo",468 m² tot.,3 quartos,5 ban.,3 vagas
3908,R$ 240.000,"Vila Industrial, Bauru",240 m² tot.,3 quartos,1 banheiro,3 vagas
3909,R$ 380.000,"Vila Souto, Bauru",288 m² tot.,3 quartos,1 banheiro,3 vagas
3910,R$ 530.000,"Jardim Solange, Bauru",180 m² tot.,3 quartos,2 ban.,2 vagas
3911,R$ 410.000,"Núcleo Eldorado, Bauru",238 m² tot.,3 quartos,3 ban.,2 vagas
3912,R$ 270.000,"Vila Giunta, Bauru",135 m² tot.,2 quartos,1 banheiro,2 vagas
3913,R$ 1.350.000,"Jardim Estoril, Bauru",360 m² tot.,3 quartos,1 banheiro,6 vagas
3914,R$ 550.000,"Jardim Silvestri, Bauru",230 m² tot.,2 quartos,1 banheiro,3 vagas
3915,R$ 350.000,"Parque dos Eucaliptos, Bauru",250 m² tot.,3 quartos,3 ban.,4 vagas
3916,R$ 700.000,"Jardim Bela Vista, Bauru",300 m² tot.,3 quartos,2 ban.,2 vagas
3917,R$ 420.000,"Jardim Dona Lili, Bauru",144 m² tot.,3 quartos,4 ban.,1 vaga
3918,R$ 1.700.000,"Jardim Shangri-Lá, Bauru",300 m² tot.,3 quartos,5 ban.,3 vagas
3919,R$ 480.000,"Bauru, São Paulo",200 m² tot.,2 quartos,1 banheiro,2 vagas
3920,R$ 350.000,"Bauru, São Paulo",205 m² tot.,2 quartos,3 ban.,4 vagas
3921,R$ 1.500.000,"Bauru, São Paulo",376 m² tot.,3 quartos,1 banheiro,4 vagas
3922,R$ 1.500.000,"Jardim Dona Sarah, Bauru",383 m² tot.,9 quartos,2 ban.,2 vagas
3923,R$ 250.000,"Núcleo Habitacional José Regino, Bauru",200 m² tot.,2 quartos,1 banheiro,1 vaga
3924,R$ 650.000,"Vila Santa Luzia, Bauru",216 m² tot.,3 quartos,3 ban.,3 vagas
3925,R$ 185.000,"Núcleo Residencial Presidente Geisel, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
3926,R$ 2.100.000,"Jardim Shangri-Lá, Bauru",678 m² tot.,,4 ban.,4 vagas
3927,R$ 2.600.000,"Jardim Shangri-Lá, Bauru",3000 m² tot.,4 quartos,7 ban.,4 vagas
3928,R$ 1.245.000,"Jardim Estoril II, Bauru",630 m² tot.,5 quartos,6 ban.,4 vagas
3929,R$ 2.300.000,"Jardim Shangri-Lá, Bauru",530 m² tot.,3 quartos,4 ban.,6 vagas
3930,R$ 420.000,"Novo Jardim Pagani, Bauru",290 m² tot.,3 quartos,2 ban.,2 vagas
3931,R$ 280.000,"Parque Vista Alegre, Bauru",277 m² tot.,3 quartos,1 banheiro,4 vagas
3932,R$ 370.000,"Vila Nova Santa Luzia, Bauru",294 m² tot.,2 quartos,2 ban.,2 vagas
3933,R$ 420.000,"Jardim Dona Lili, Bauru",360 m² tot.,2 quartos,2 ban.,
3934,R$ 1.300.000,"Jardim Colonial, Bauru",525 m² tot.,3 quartos,3 ban.,2 vagas
3935,R$ 260.000,"Jardim Alvorada, Bauru",302 m² tot.,2 quartos,1 banheiro,6 vagas
3936,R$ 380.000,"Jardim América, Bauru",207 m² tot.,4 quartos,,1 vaga
3937,R$ 630.000,"Vila Seabra, Bauru",307 m² tot.,3 quartos,4 ban.,3 vagas
3938,R$ 450.000,"Vila Coralina, Bauru",242 m² tot.,3 quartos,1 banheiro,2 vagas
3939,R$ 550.000,"Jardim América, Bauru",242 m² tot.,3 quartos,1 banheiro,4 vagas
3940,R$ 380.000,"Vila Independência, Bauru",148 m² tot.,3 quartos,1 banheiro,2 vagas
3941,R$ 450.000,"Jardim Flórida, Bauru",312 m² tot.,3 quartos,3 ban.,5 vagas
3942,R$ 390.000,"Vila Rocha, Bauru",311 m² tot.,3 quartos,1 banheiro,2 vagas
3943,R$ 480.000,"Vila Independência, Bauru",147 m² tot.,3 quartos,1 banheiro,2 vagas
3944,R$ 480.000,"Vila Paulista, Bauru",363 m² tot.,2 quartos,2 ban.,4 vagas
3945,R$ 690.000,"Vila Industrial, Bauru",360 m² tot.,3 quartos,5 ban.,6 vagas
3946,R$ 81.964,"Bauru, São Paulo",50 m² tot.,,,
3947,R$ 120.383,"Bauru, São Paulo",50 m² tot.,2 quartos,,1 vaga
3948,R$ 129.031,"Bauru, São Paulo",50 m² tot.,2 quartos,,1 vaga
3949,R$ 198.842,"Bauru, São Paulo",50 m² tot.,2 quartos,,2 vagas
3950,R$ 74.378,"Tangarás, Bauru",50 m² tot.,2 quartos,,
3951,R$ 260.000,"Bauru, São Paulo",200 m² tot.,2 quartos,2 ban.,3 vagas
3952,R$ 1.000.000.000,"Centro, Bauru",604 m² tot.,3 quartos,1 banheiro,4 vagas
3953,R$ 620.000,"Centro, Bauru",190 m² tot.,3 quartos,2 ban.,2 vagas
3954,R$ 1.930.000,"Bauru, São Paulo",373 m² tot.,3 quartos,5 ban.,4 vagas
3955,R$ 1.600.000,"Bauru, São Paulo",364 m² tot.,3 quartos,5 ban.,2 vagas
3956,R$ 1.500.000,"Bauru, São Paulo",364 m² tot.,3 quartos,4 ban.,2 vagas
3957,R$ 190.000,"Bauru, São Paulo",225 m² tot.,1 quarto,1 banheiro,2 vagas
3958,R$ 550.000,"Bauru, São Paulo",242 m² tot.,3 quartos,3 ban.,3 vagas
3959,R$ 1.750.000,"Bauru, São Paulo",394 m² tot.,3 quartos,5 ban.,2 vagas
3960,R$ 1.930.000,"Bauru, São Paulo",370 m² tot.,3 quartos,5 ban.,2 vagas
3961,R$ 2.490.000,"Bauru, São Paulo",636 m² tot.,4 quartos,5 ban.,3 vagas
3962,R$ 2.300.000,"Bauru, São Paulo",530 m² tot.,3 quartos,4 ban.,3 vagas
3963,R$ 230.000,"Vila Alto Paraíso, Bauru",150 m² tot.,2 quartos,1 banheiro,1 vaga
3964,R$ 200.000,"Jardim Bela Vista, Bauru",348 m² tot.,3 quartos,2 ban.,5 vagas
3965,R$ 230.000,"Parque Vista Alegre, Bauru",277 m² tot.,3 quartos,2 ban.,4 vagas
3966,R$ 270.000,"Jardim Nova Esperança, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
3967,R$ 599.000,"Vale do Igapó, Bauru",1159 m² tot.,6 quartos,6 ban.,6 vagas
3968,R$ 125.000,"Jardim Nova Esperança, Bauru",143 m² tot.,2 quartos,1 banheiro,
3969,R$ 200.000,"Núcleo Residencial Beija-Flor, Bauru",200 m² tot.,2 quartos,1 banheiro,1 vaga
3970,R$ 1.800.000,"Vila Guedes de Azevedo, Bauru",264 m² tot.,2 quartos,3 ban.,1 vaga
3971,R$ 320.000,"Vale do Igapó, Bauru",559 m² tot.,2 quartos,1 banheiro,2 vagas
3972,R$ 220.000,"Parque Santa Edwiges, Bauru",432 m² tot.,2 quartos,1 banheiro,9 vagas
3973,R$ 350.000,"Parque Santa Cecília, Bauru",242 m² tot.,3 quartos,1 banheiro,2 vagas
3974,R$ 1.160.000,"Vila Guedes de Azevedo, Bauru",362 m² tot.,4 quartos,2 ban.,4 vagas
3975,R$ 2.950.000,"Jardim Infante Dom Henrique, Bauru",1000 m² tot.,4 quartos,6 ban.,6 vagas
3976,R$ 2.300.000,"Jardim Shangri-Lá, Bauru",530 m² tot.,3 quartos,4 ban.,6 vagas
3977,R$ 500.000,"Jardim Terra Branca, Bauru",181 m² tot.,3 quartos,2 ban.,4 vagas
3978,R$ 250.000,"Conjunto Habitacional Joaquim Guilherme de Oliveira, Bauru",200 m² tot.,3 quartos,1 banheiro,1 vaga
3979,R$ 450.000,"Jardim América, Bauru",242 m² tot.,4 quartos,3 ban.,2 vagas
3980,R$ 550.000,"Vila Santista, Bauru",160 m² tot.,3 quartos,2 ban.,2 vagas
3981,R$ 320.000,"Parque Giansante, Bauru",188 m² tot.,2 quartos,2 ban.,2 vagas
3982,R$ 280.000,"Jardim Marília, Bauru",125 m² tot.,2 quartos,1 banheiro,1 vaga
3983,R$ 530.000,"Jardim Solange, Bauru",180 m² tot.,3 quartos,2 ban.,2 vagas
3984,R$ 800.000,"Jardim Colonial, Bauru",400 m² tot.,3 quartos,3 ban.,4 vagas
3985,R$ 1.200.000,"Vila Coralina, Bauru",504 m² tot.,3 quartos,4 ban.,4 vagas
3986,R$ 330.000,"Jardim Estoril, Bauru",183 m² tot.,2 quartos,1 banheiro,3 vagas
3987,R$ 350.000,"Núcleo Eldorado, Bauru",250 m² tot.,3 quartos,3 ban.,2 vagas
3988,R$ 600.000,"Quinta Ranieri, Bauru",300 m² tot.,2 quartos,2 ban.,2 vagas
3989,R$ 50.416,"Parque Jaraguá, Bauru",50 m² tot.,1 quarto,,1 vaga
3990,R$ 168.888,"Parque Primavera, Bauru",50 m² tot.,2 quartos,,
3991,R$ 62.081,"Parque Jaraguá, Bauru",50 m² tot.,1 quarto,,1 vaga
3992,R$ 77.622,"Parque Paulista, Bauru",50 m² tot.,1 quarto,,1 vaga
3993,R$ 65.921,"Vila Dutra, Bauru",50 m² tot.,1 quarto,,1 vaga
3994,R$ 61.483,"Jardim Ivone, Bauru",50 m² tot.,1 quarto,,1 vaga
3995,R$ 250.000,"Jardim Flórida, Bauru",138 m² tot.,2 quartos,1 banheiro,2 vagas
3996,R$ 630.000,"Vila Pacífico, Bauru",290 m² tot.,3 quartos,3 ban.,3 vagas
3997,R$ 220.000,"Parque Jaraguá, Bauru",125 m² tot.,2 quartos,1 banheiro,2 vagas
3998,R$ 450.000,"Vila Lemos, Bauru",220 m² tot.,3 quartos,3 ban.,3 vagas
3999,R$ 450.000,"Jardim Progresso, Bauru",192 m² tot.,3 quartos,2 ban.,
4000,R$ 750.000,"Jardim Panorama, Bauru",460 m² tot.,4 quartos,5 ban.,4 vagas
4001,R$ 450.000,"Vila Seabra, Bauru",250 m² tot.,3 quartos,2 ban.,3 vagas
4002,R$ 320.000,"Jardim Vitória, Bauru",198 m² tot.,3 quartos,2 ban.,2 vagas
4003,R$ 380.000,"Vila Dutra, Bauru",363 m² tot.,3 quartos,1 banheiro,2 vagas
4004,R$ 1.000.000,"Vila Coralina, Bauru",1000 m² tot.,4 quartos,1 banheiro,6 vagas
4005,R$ 380.000,"Parque Roosevelt, Bauru",440 m² tot.,3 quartos,3 ban.,6 vagas
4006,R$ 250.000,"Parque City, Bauru",275 m² tot.,3 quartos,2 ban.,3 vagas
4007,R$ 250.000,"Parque City, Bauru",125 m² tot.,3 quartos,1 banheiro,1 vaga
4008,R$ 280.000,"Jardim Marília, Bauru",125 m² tot.,2 quartos,1 banheiro,1 vaga
4009,R$ 425.000,"Vila Industrial, Bauru",168 m² tot.,3 quartos,2 ban.,2 vagas
4010,R$ 550.000,"Vila Souto, Bauru",242 m² tot.,3 quartos,2 ban.,4 vagas
4011,R$ 460.000,"Vila Souto, Bauru",308 m² tot.,3 quartos,3 ban.,2 vagas
4012,R$ 53.777,"Parque Jaraguá, Bauru",50 m² tot.,1 quarto,,1 vaga
4013,R$ 590.000,"Alto Higienópolis, Bauru",400 m² tot.,3 quartos,3 ban.,4 vagas
4014,R$ 290.000,"Vila Seabra, Bauru",150 m² tot.,2 quartos,1 banheiro,2 vagas
4015,R$ 250.000,"Vila Dutra, Bauru",200 m² tot.,2 quartos,2 ban.,3 vagas
4016,R$ 970.000,"Vila Carolina, Bauru",720 m² tot.,3 quartos,3 ban.,
4017,R$ 530.000,"Jardim Solange, Bauru",180 m² tot.,3 quartos,3 ban.,2 vagas
4018,R$ 1.050.000,"Quinta Ranieri, Bauru",384 m² tot.,3 quartos,4 ban.,2 vagas
4019,R$ 350.000,"Núcleo Eldorado, Bauru",250 m² tot.,3 quartos,3 ban.,2 vagas
4020,R$ 530.000,"Jardim Solange, Bauru",180 m² tot.,3 quartos,2 ban.,2 vagas
4021,R$ 800.000,"Jardim Colonial, Bauru",400 m² tot.,3 quartos,3 ban.,4 vagas
4022,R$ 650.000,"Vila Lemos, Bauru",300 m² tot.,3 quartos,3 ban.,1 vaga
4023,R$ 780.000,"Jardim Panorama, Bauru",312 m² tot.,3 quartos,3 ban.,2 vagas
4024,R$ 435.000,"Parque Viaduto, Bauru",264 m² tot.,3 quartos,3 ban.,4 vagas
4025,R$ 2.300.000,"Bauru, São Paulo",420 m² tot.,3 quartos,3 ban.,2 vagas
4026,R$ 2.380.000,"Bauru, São Paulo",420 m² tot.,3 quartos,4 ban.,4 vagas
4027,R$ 280.000,"Bauru, São Paulo",300 m² tot.,3 quartos,1 banheiro,2 vagas
4028,R$ 850.000,"Bauru, São Paulo",360 m² tot.,3 quartos,5 ban.,2 vagas
4029,R$ 1.850.000,"Bauru, São Paulo",360 m² tot.,3 quartos,5 ban.,4 vagas
4030,R$ 2.200.000,"Bauru, São Paulo",420 m² tot.,3 quartos,4 ban.,4 vagas
4031,R$ 1.850.000,"Bauru, São Paulo",364 m² tot.,3 quartos,4 ban.,4 vagas
4032,R$ 300.000,"Residencial Parque Granja Cecília B, Bauru",300 m² tot.,3 quartos,1 banheiro,2 vagas
