,precos,bairros,tamanhos,quartos,banheiros,vagas
188,R$ 1.200.000,"Jardim Terra Branca, Bauru",576 m² tot.,3 quartos,4 ban.,4 vagas
189,R$ 430.000,"Parque Júlio Nóbrega, Bauru",250 m² tot.,3 quartos,3 ban.,3 vagas
190,R$ 285.000,"Vila São João da Boa Vista, Bauru",150 m² tot.,3 quartos,2 ban.,2 vagas
191,R$ 530.000,"Conjunto Habitacional Presidente Eurico Gaspar Dutra, Bauru",307 m² tot.,4 quartos,4 ban.,2 vagas
192,R$ 160.000,"Núcleo Residencial Edison Bastos Gasparini, Bauru",47 m² tot.,3 quartos,1 banheiro,2 vagas
193,R$ 200.000,"Vila São João da Boa Vista, Bauru",134 m² tot.,3 quartos,,1 vaga
194,R$ 190.000,"Vila Independência, Bauru",235 m² tot.,2 quartos,1 banheiro,2 vagas
195,R$ 160.000,"Jardim Prudência, Bauru",50 m² tot.,2 quartos,1 banheiro,2 vagas
196,R$ 198.842,"Bauru, São Paulo",50 m² tot.,2 quartos,,2 vagas
197,R$ 61.483,"Jardim Ivone, Bauru",50 m² tot.,1 quarto,,1 vaga
198,R$ 385.000,"Vila Constança (Botujuru), Campo Limpo Paulista",10 m² tot.,1 quarto,4 ban.,1 vaga
199,R$ 181.634,"Marcílio de Noronha, Viana",50 m² tot.,2 quartos,,
200,R$ 600.000,"Alto Higienópolis, Bauru",217 m² tot.,4 quartos,2 ban.,3 vagas
201,R$ 270.000,"Jardim Cruzeiro do Sul, Bauru",144 m² tot.,3 quartos,1 banheiro,1 vaga
202,R$ 180.000,"Núcleo Residencial Edison Bastos Gasparini, Bauru",209 m² tot.,3 quartos,2 ban.,3 vagas
203,R$ 299.160,"Parque Bauru, Bauru",363 m² tot.,2 quartos,2 ban.,4 vagas
204,R$ 549.140,"Cibratel II, Itanhaém",300 m² tot.,3 quartos,3 ban.,6 vagas
205,R$ 249.460,"Residencial Nova Bauru, Bauru",200 m² tot.,2 quartos,3 ban.,2 vagas
206,R$ 329.540,"Parque Bauru, Bauru",150 m² tot.,2 quartos,1 banheiro,2 vagas
207,R$ 478.870,"Jardim Cibratel, Itanhaém",300 m² tot.,3 quartos,5 ban.,6 vagas
208,R$ 229.500,"Jardim Nova Bauru, Bauru",135 m² tot.,2 quartos,1 banheiro,1 vaga
209,R$ 859.600,"Jardim do Lago, Atibaia",180 m² tot.,3 quartos,3 ban.,2 vagas
210,R$ 859.600,"Jardim do Lago, Atibaia",180 m² tot.,3 quartos,3 ban.,2 vagas
211,R$ 995.500,"Barreiro, Araçoiaba da Serra",890 m² tot.,3 quartos,3 ban.,5 vagas
212,R$ 65.349,"Parque Jaraguá, Bauru",24 m² tot.,1 quarto,1 banheiro,1 vaga
213,R$ 168.888,"Parque Primavera, Bauru",144 m² tot.,2 quartos,1 banheiro,
214,R$ 179.550,"Peruíbe, São Paulo",250 m² tot.,3 quartos,2 ban.,4 vagas
215,R$ 379.610,"Centro, Bauru",176 m² tot.,3 quartos,2 ban.,2 vagas
216,R$ 449.230,"Centro, Bauru",135 m² tot.,3 quartos,3 ban.,2 vagas
217,R$ 249.410,"Centro, Bauru",198 m² tot.,3 quartos,2 ban.,2 vagas
218,R$ 349.610,"Centro, Bauru",150 m² tot.,3 quartos,2 ban.,1 vaga
219,R$ 449.290,"Centro, Bauru",200 m² tot.,3 quartos,4 ban.,1 vaga
220,R$ 3.099.190,"Bauru, São Paulo",497 m² tot.,3 quartos,5 ban.,6 vagas
221,R$ 2.219.610,"Bauru, São Paulo",450 m² tot.,3 quartos,5 ban.,4 vagas
222,R$ 2.989.720,"Bauru, São Paulo",509 m² tot.,3 quartos,5 ban.,4 vagas
223,R$ 1.749.640,"Bauru, São Paulo",360 m² tot.,3 quartos,4 ban.,4 vagas
224,R$ 209.320,"Madureira, Bauru",137 m² tot.,1 quarto,1 banheiro,2 vagas
225,R$ 409.600,"Bauru, São Paulo",210 m² tot.,3 quartos,2 ban.,2 vagas
226,R$ 129.450,"Bauru, São Paulo",150 m² tot.,2 quartos,2 ban.,3 vagas
227,R$ 582.430,"Bauru, São Paulo",432 m² tot.,2 quartos,3 ban.,2 vagas
228,R$ 3.099.420,"Bauru, São Paulo",497 m² tot.,4 quartos,5 ban.,3 vagas
229,R$ 439.140,"Centro, Bauru",88 m² tot.,6 quartos,5 ban.,
230,R$ 488.880,"Bauru, São Paulo",250 m² tot.,3 quartos,2 ban.,2 vagas
231,R$ 369.690,"Bauru, São Paulo",252 m² tot.,2 quartos,1 banheiro,3 vagas
232,R$ 269.750,"Tangarás, Bauru",93 m² tot.,2 quartos,1 banheiro,2 vagas
233,R$ 359.560,"Madureira, Bauru",386 m² tot.,3 quartos,2 ban.,2 vagas
234,R$ 569.070,"Bauru, São Paulo",224 m² tot.,2 quartos,3 ban.,3 vagas
