,Unnamed: 0,precos,tamanhos,quartos,banheiros,vagas,bairros_preco_medio
2903,2903,998000.0,360.0,3.0,5.0,2.0,1661060.0
2904,2904,195000.0,200.0,2.0,1.0,2.0,396190.0
2905,2905,269000.0,264.0,3.0,2.0,3.0,181915.88
2906,2906,375000.0,180.0,3.0,2.0,2.0,350808.51851851854
2907,2907,590000.0,300.0,3.0,2.0,2.0,400110.1818181818
2908,2908,280000.0,200.0,3.0,2.0,2.0,359570.0
2909,2909,425000.0,250.0,4.0,2.0,4.0,451861.25
2910,2910,580000.0,386.0,2.0,4.0,7.0,591760.4255319149
2912,2912,340000.0,200.0,3.0,1.0,4.0,252048.42105263157
2913,2913,230000.0,76.0,2.0,2.0,2.0,396190.0
2915,2915,310000.0,140.0,2.0,2.0,3.0,343874.5833333333
2916,2916,380000.0,118.0,3.0,3.0,2.0,380000.0
2917,2917,1100000.0,360.0,4.0,4.0,6.0,1888303.3333333333
2918,2918,599000.0,220.0,3.0,3.0,2.0,725500.0
2919,2919,1800000.0,560.0,4.0,6.0,4.0,2032942.75
2920,2920,999000.0,250.0,3.0,4.0,2.0,911629.2307692308
2921,2921,850000.0,280.0,3.0,4.0,2.0,779855.1063829787
2922,2922,450000.0,200.0,4.0,3.0,3.0,359570.0
2923,2923,750000.0,327.0,3.0,3.0,3.0,779855.1063829787
2924,2924,290000.0,80.0,2.0,1.0,4.0,424763.9090909091
2925,2925,2500000.0,2500.0,4.0,9.0,10.0,2516347.5675675673
2926,2926,450000.0,300.0,3.0,2.0,3.0,622106.0416666666
2927,2927,950000.0,328.0,3.0,2.0,2.0,563572.6315789474
2929,2929,290000.0,250.0,2.0,2.0,4.0,359570.0
2930,2930,270000.0,200.0,3.0,3.0,3.0,277017.14285714284
2932,2932,320000.0,192.0,2.0,2.0,3.0,396190.0
2933,2933,850000.0,168.0,3.0,5.0,3.0,550146.1224489796
2934,2934,265000.0,200.0,3.0,2.0,2.0,302072.14285714284
2935,2935,399000.0,182.0,2.0,2.0,2.0,343874.5833333333
2936,2936,329000.0,153.0,3.0,3.0,1.0,347615.3846153846
2937,2937,460000.0,500.0,2.0,3.0,5.0,468388.48484848486
2938,2938,298000.0,253.0,2.0,2.0,2.0,181915.88
2939,2939,2300000.0,1000.0,4.0,5.0,6.0,2032942.75
2940,2940,450000.0,214.0,3.0,2.0,2.0,520996.43209876545
2941,2941,480000.0,282.0,3.0,3.0,2.0,336187.5
2942,2942,430000.0,242.0,3.0,3.0,3.0,520996.43209876545
2943,2943,496000.0,300.0,2.0,4.0,4.0,350808.51851851854
2944,2944,360000.0,288.0,2.0,2.0,4.0,369087.77777777775
2945,2945,400000.0,2.0,3.0,2.0,2.0,894942.8571428572
2946,2946,400000.0,139.0,3.0,2.0,2.0,622106.0416666666
